Radial distance r (atomic units), theoretical hydrogen ground state wavefunction (atomic units), calculated hydrogen ground state wavefunction (atomic units) with 10 points
1.0, 0.20755374871029736, 0.22581305404084312
2.0, 0.07635475708858216, 0.0935345758017518
3.0, 0.028089345368528827, 0.03874294551349154
4.0, 0.010333492677046027, 0.01604737252724171
5.0, 0.003801479511380884, 0.006646313819054572
6.0, 0.0013984861582714873, 0.0027518131660344124
7.0, 0.000514474306390912, 0.0011377979246943331
8.0, 0.0001892645203321541, 0.0004675946054780159
9.0, 6.962652597337393e-05, 0.00018674167038525795
10.0, 2.5614167465793717e-05, 6.394228908477232e-05
