Radial coordinate (angstrom), Histogram of distances (count)
0.0, 0
0.05, 0
0.1, 0
0.15000000000000002, 0
0.2, 0
0.25, 0
0.30000000000000004, 0
0.35000000000000003, 0
0.4, 0
0.45, 0
0.5, 0
0.55, 0
0.6000000000000001, 0
0.65, 0
0.7000000000000001, 0
0.75, 0
0.8, 0
0.8500000000000001, 0
0.9, 0
0.9500000000000001, 0
1.0, 0
1.05, 0
1.1, 0
1.1500000000000001, 0
1.2000000000000002, 0
1.25, 0
1.3, 0
1.35, 0
1.4000000000000001, 0
1.4500000000000002, 0
1.5, 0
1.55, 0
1.6, 0
1.6500000000000001, 0
1.7000000000000002, 0
1.75, 0
1.8, 0
1.85, 0
1.9000000000000001, 8
1.9500000000000002, 5
2.0, 12
2.0500000000000003, 129
2.1, 308
2.15, 471
2.2, 864
2.25, 1231
2.3000000000000003, 1751
2.35, 2181
2.4000000000000004, 2074
2.45, 1736
2.5, 1701
2.5500000000000003, 1337
2.6, 947
2.6500000000000004, 992
2.7, 776
2.75, 638
2.8000000000000003, 592
2.85, 308
2.9000000000000004, 178
2.95, 193
3.0, 221
3.0500000000000003, 380
3.1, 274
3.1500000000000004, 275
3.2, 361
3.25, 316
3.3000000000000003, 292
3.35, 436
3.4000000000000004, 489
3.45, 780
3.5, 529
3.5500000000000003, 514
3.6, 1001
3.6500000000000004, 783
3.7, 715
3.75, 912
3.8000000000000003, 1066
3.85, 1061
3.9000000000000004, 1087
3.95, 1056
4.0, 1158
4.05, 1252
4.1000000000000005, 1396
4.15, 1510
4.2, 1492
4.25, 1655
4.3, 1709
4.3500000000000005, 1855
4.4, 1601
4.45, 1758
4.5, 1947
4.55, 2057
4.6000000000000005, 1531
4.65, 1778
4.7, 1741
4.75, 1500
4.800000000000001, 1295
4.8500000000000005, 1533
4.9, 1214
4.95, 1357
5.0, 1322
5.050000000000001, 1730
5.1000000000000005, 1609
5.15, 1654
5.2, 1792
5.25, 1710
5.300000000000001, 1373
5.3500000000000005, 1553
5.4, 1354
5.45, 1362
5.5, 1239
5.550000000000001, 986
5.6000000000000005, 876
5.65, 987
5.7, 1098
5.75, 1269
5.800000000000001, 994
5.8500000000000005, 1055
5.9, 910
5.95, 883
6.0, 629
6.050000000000001, 489
6.1000000000000005, 435
6.15, 663
6.2, 647
6.25, 608
6.300000000000001, 564
6.3500000000000005, 458
6.4, 388
6.45, 233
6.5, 240
6.550000000000001, 203
6.6000000000000005, 285
6.65, 228
6.7, 211
6.75, 204
6.800000000000001, 368
6.8500000000000005, 374
6.9, 190
6.95, 198
7.0, 81
7.050000000000001, 58
7.1000000000000005, 45
7.15, 29
7.2, 29
7.25, 31
7.300000000000001, 37
7.3500000000000005, 0
7.4, 0
7.45, 0
7.5, 0
7.550000000000001, 0
7.6000000000000005, 0
7.65, 0
7.7, 0
7.75, 0
7.800000000000001, 0
7.8500000000000005, 0
7.9, 0
7.95, 0
8.0, 0
8.05, 0
8.1, 0
8.15, 0
8.200000000000001, 0
8.25, 0
8.3, 0
8.35, 0
8.4, 0
8.450000000000001, 0
8.5, 0
8.55, 0
8.6, 0
8.65, 0
8.700000000000001, 0
8.75, 0
8.8, 0
8.85, 0
8.9, 0
8.950000000000001, 0
9.0, 0
9.05, 0
9.1, 0
9.15, 0
9.200000000000001, 0
9.25, 0
9.3, 0
9.35, 0
9.4, 0
9.450000000000001, 0
9.5, 0
9.55, 0
9.600000000000001, 0
9.65, 0
9.700000000000001, 0
9.75, 0
9.8, 0
9.850000000000001, 0
9.9, 0
9.950000000000001, 0
