Radial coordinate (angstrom), Histogram of radial distances for (counts), Scaled histogram (counts)
1.5261244290860043, 0, 0.0
1.5783732872580132, 0, 0.0
1.630622145430022, 0, 0.0
1.682871003602031, 0, 0.0
1.7351198617740398, 0, 0.0
1.7873687199460486, 0, 0.0
1.8396175781180575, 0, 0.0
1.8918664362900661, 0, 0.0
1.944115294462075, 0, 0.0
1.9963641526340838, 0, 0.0
2.0486130108060925, 37, 0.11484496825606753
2.1008618689781016, 175, 0.5165033618759987
2.15311072715011, 370, 1.039678578546603
2.2053595853221193, 631, 1.6900542180394675
2.257608443494128, 972, 2.4842718870915603
2.3098573016661366, 1492, 3.642743757040415
2.3621061598381456, 2095, 4.8911986800488565
2.4143550180101547, 2200, 4.916437467770326
2.4666038761821634, 1666, 3.5670260333825072
2.518852734354172, 1587, 3.2583780677808587
2.5711015925261806, 1366, 2.691797130486492
2.6233504506981897, 924, 1.7489985505879508
2.675599308870199, 951, 1.7304875054846367
2.7278481670422075, 680, 1.190415646657202
2.780097025214216, 479, 0.8073199944412349
2.832345883386225, 481, 0.7810567712549469
2.884594741558234, 236, 0.369464307437794
2.936843599730243, 140, 0.21144455158453573
2.9890924579022515, 142, 0.2070330823782034
3.04134131607426, 167, 0.23518859016621854
3.0935901742462693, 171, 0.23275587521459742
3.1458390324182783, 130, 0.17111987728070427
3.198087890590287, 184, 0.23435117443258208
3.2503367487622956, 171, 0.2108480046493424
3.3025856069343043, 149, 0.17795418336050262
3.3548344651063133, 342, 0.3958348387550497
3.4070833232783224, 326, 0.3658324215208566
3.459332181450331, 569, 0.6193809353001921
3.5115810396223397, 618, 0.6528496647220688
3.5638298977943488, 352, 0.3610262919896715
3.6160787559663574, 674, 0.6714508633635049
3.6683276141383665, 722, 0.6989257941982342
3.720576472310375, 641, 0.6032087878157808
3.7728253304823838, 830, 0.7595822281976714
3.825074188654393, 1015, 0.9036836351974681
3.8773230468264015, 945, 0.8188379012233159
3.9295719049984106, 933, 0.7870843274915758
3.981820763170419, 941, 0.7731367383967649
4.034069621342428, 1117, 0.8941214135243334
4.086318479514437, 1229, 0.9587768973817075
4.138567337686446, 1286, 0.9780724318969374
4.190816195858455, 1447, 1.0732512552085642
4.243065054030463, 1490, 1.0780948933294763
4.295313912202472, 1501, 1.0597928279672852
4.347562770374481, 1613, 1.1116619641669954
4.399811628546489, 1678, 1.1291558562062536
4.452060486718499, 1516, 0.9963391373405521
