Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 1 ps to 2 ps (counts)
1.5261244290860043, 0, 0.0
1.5783732872580132, 0, 0.0
1.630622145430022, 0, 0.0
1.682871003602031, 0, 0.0
1.7351198617740398, 0, 0.0
1.7873687199460486, 0, 0.0
1.8396175781180575, 0, 0.0
1.8918664362900661, 0, 0.0
1.944115294462075, 0, 0.0
1.9963641526340838, 0, 0.0
2.0486130108060925, 0, 0.0
2.1008618689781016, 31, 0.1601160421815596
2.15311072715011, 173, 0.8507099720404974
2.2053595853221193, 389, 1.8233033422034353
2.257608443494128, 575, 2.571809245252966
2.3098573016661366, 827, 3.533485859501836
2.3621061598381456, 1443, 5.895703802765334
2.4143550180101547, 1532, 5.991349477769201
2.4666038761821634, 1089, 4.080348057094065
2.518852734354172, 1001, 3.596637542681234
2.5711015925261806, 978, 3.3726286887464356
2.6233504506981897, 631, 2.090185767842797
2.675599308870199, 684, 2.178121497439653
2.7278481670422075, 499, 1.5287212697697081
2.780097025214216, 177, 0.5220613116454541
2.832345883386225, 143, 0.4063606174772359
2.884594741558234, 23, 0.06301245073886107
2.936843599730243, 23, 0.06079030858055402
2.9890924579022515, 24, 0.061235137041440436
3.04134131607426, 38, 0.0936529415931349
3.0935901742462693, 45, 0.10719020569093302
3.1458390324182783, 56, 0.12899806133468472
3.198087890590287, 99, 0.2206594617958959
3.2503367487622956, 61, 0.13162587424746958
3.3025856069343043, 53, 0.11077349333346723
3.3548344651063133, 184, 0.3726866025705439
3.4070833232783224, 176, 0.34563308536326326
3.459332181450331, 389, 0.741025609324439
3.5115810396223397, 337, 0.6230066177505503
3.5638298977943488, 194, 0.3482057560525383
3.6160787559663574, 293, 0.5108107272843281
3.6683276141383665, 313, 0.5302446035624415
3.720576472310375, 256, 0.42158742112553804
3.7728253304823838, 440, 0.7046726695327794
3.825074188654393, 585, 0.9114740113629635
3.8773230468264015, 593, 0.8992053248619006
3.9295719049984106, 609, 0.8990730139594285
3.981820763170419, 638, 0.9173296157491903
4.034069621342428, 667, 0.9343448701309565
4.086318479514437, 883, 1.2054922706908733
4.138567337686446, 688, 0.9157070046686723
4.190816195858455, 672, 0.8722484285592753
4.243065054030463, 701, 0.8876194029476073
4.295313912202472, 775, 0.9575909546506534
4.347562770374481, 853, 1.0287869789276394
4.399811628546489, 821, 0.9668144674638468
4.452060486718499, 759, 0.8729468728051375
