Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram (counts)
1.5261244290860043, 0.0, 0.0
1.5783732872580132, 0.0, 0.0
1.630622145430022, 0.0, 0.0
1.682871003602031, 0.0, 0.0
1.7351198617740398, 0.0, 0.0
1.7873687199460486, 0.0, 0.0
1.8396175781180575, 0.0, 0.0
1.8918664362900661, 0.0, 0.0
1.944115294462075, 0.0, 0.0
1.9963641526340838, 0.0, 0.0
2.0486130108060925, 0.0, 0.0
2.1008618689781016, 0.0, 0.0
2.15311072715011, 0.0, 0.0
2.2053595853221193, 0.0, 0.0
2.257608443494128, 0.0, 0.0
2.3098573016661366, 48.0, 0.0017090620844023394
2.3621061598381456, 674.0, 0.022948165644859294
2.4143550180101547, 4154.0, 0.13537894762104688
2.4666038761821634, 16002.0, 0.49964592599953495
2.518852734354172, 38052.0, 1.1393544103738458
2.5711015925261806, 68236.0, 1.9609295433307927
2.6233504506981897, 99060.0, 2.7344664839211235
2.675599308870199, 116512.0, 3.0918286051375348
2.7278481670422075, 116702.0, 2.979372572222186
2.780097025214216, 103538.0, 2.5448768401669972
2.832345883386225, 88682.0, 2.1000508321163305
2.884594741558234, 73138.0, 1.6697842833836305
2.936843599730243, 59066.0, 1.300956654572103
2.9890924579022515, 49284.0, 1.0478862826216495
3.04134131607426, 41110.0, 0.8443141291433721
3.0935901742462693, 37256.0, 0.7395330191150742
3.1458390324182783, 34900.0, 0.6699452887768597
3.198087890590287, 34320.0, 0.6374606674103661
3.2503367487622956, 35718.0, 0.6422695322911364
3.3025856069343043, 38964.0, 0.6786444016108834
3.3548344651063133, 39432.0, 0.665569660895004
3.4070833232783224, 42860.0, 0.7014125965279102
3.459332181450331, 46842.0, 0.7435972920303207
3.5115810396223397, 48444.0, 0.7463138622726918
3.5638298977943488, 53268.0, 0.7967450263490812
3.6160787559663574, 54400.0, 0.7903328658779137
3.6683276141383665, 58344.0, 0.8236579113484314
3.720576472310375, 64778.0, 0.888984048361657
3.7728253304823838, 68800.0, 0.9182098421184701
3.825074188654393, 74754.0, 0.9706029664590736
3.8773230468264015, 75152.0, 0.9496497832212135
3.9295719049984106, 78964.0, 0.9714614323247445
3.981820763170419, 81794.0, 0.9800425625730048
4.034069621342428, 87040.0, 1.0160591891079267
4.086318479514437, 94694.0, 1.0773205462514304
4.138567337686446, 100668.0, 1.1165502997333565
4.190816195858455, 106218.0, 1.1489147269929203
4.243065054030463, 110814.0, 1.1692897826704252
4.295313912202472, 118024.0, 1.2152549981902012
4.347562770374481, 119944.0, 1.2055180285316216
4.399811628546489, 125250.0, 1.2291261880820827
4.452060486718499, 120832.0, 1.1581018504039344
